project_name,country_region,sector,grant_amount,implementing_entity,executing_entity,approval_date,duration,status,transferred_amount,start_date,expected_completion_date,locations,revised_completion_date,completion_date,project_id,grant_amount_clean,duration_clean
"Transforming Communities: A Nexus of Climate-Smart Agriculture, Livelihood Diversification, and Women’s Economic Empowerment",Ethiopia/Africa,Multi-sector,"USD 9,999,328",Ministry of Finance and Economic Cooperation of the Federal Democratic Republic of Ethiopia,"Ministry of Water and Energy,Ministry of Agriculture",10/10/2025,3 years,Proposal Approved,,,,,,,,9999328,3.0
Sustainable Pasture Management and Adaptation with Resilient Technologies for Herders in Mongolia (SMART-Herders),Mongolia/Asia-Pacific,Agriculture,"USD 2,038,883",International Fund Agricultural Dev,Office of the President (Government of Mongolia) United Nations Industrial Development Organization (UNIDO),04/11/2025,4 years,Proposal Approved,"USD 852,494",,,,,,,2038883,4.0
Improving adaptive capacity of vulnerable and food-insecure populations in Lesotho Phase II (IACoV-2),Lesotho/Africa,Food Security,"USD 10,000,000",UN World Food Programme,"Ministry of Environment and Forestry,Ministry of Agriculture, Food Security and Nutrition",04/11/2025,5 years,Proposal Approved,"USD 2,928,280",,,,,,,10000000,5.0
Building Climate Resilient Cities and Communities in the Republic of Azerbaijan,Azerbaijan/Eastern Europe,Multi-sector,"USD 10,000,000",UN-Habitat,United Nations Human Settlements Programme (UN-Habitat); United Nations Environment Programme (UNEP); and International Organization for Migration (IOM),10/11/2024,4 years,Proposal Approved,"USD 2,747,627",,,,,,,10000000,4.0
Green and Resilient Ecosystems for Somali Livelihoods (Hal-abuur),Somalia/Africa,Multi-sector,"USD 10,000,000",International Fund Agricultural Dev,Sadar Development and Resilience Institute,04/11/2025,6 years,Proposal Approved,"USD 967,702",,,,,,,10000000,6.0
Climate Change Resilience and Ecosystem Connectivity (CC-REC),Lebanon/Asia-Pacific,Multi-sector,"USD 4,300,000",International Fund Agricultural Dev,Al-Shouf Cedar Society (ACS),04/11/2025,4 years,Proposal Approved,,,,,,,,4300000,4.0
Strengthening the Adaptive Capacity of Coastal Communities of Cuba and Panama to Climate Change through the Binational Exchange of Best Practices for Climate Management and Local Food Security,Regional/Other,Food Security,"USD 14,000,000",International Fund Agricultural Dev,"Regional: United Nations Food and Agriculture Organization (FAO),Cuba: Environment Agency of the Ministry of Science, Technology and Environment – CITMA (AMA),Panama: Ministry of Environment (MiAmbiente)",04/11/2025,5 years,Proposal Approved,"USD 3,676,968",,,,,,,14000000,5.0
Resilient Food Systems through Climate Services for Agriculture in Uzbekistan,Uzbekistan/Asia-Pacific,Agriculture,"USD 10,000,000",International Fund Agricultural Dev,"Ministry of Ecology, Environmental Protection and Climate Change of the Republic of Uzbekistan",04/11/2025,5 years,Proposal Approved,"USD 2,157,700",,,,,,,10000000,5.0
Increasing Climate Change Resilience in the Agricultural sector of Bosnia and Herzegovina – Staza,Bosnia and Herzegovina/Eastern Europe,Agriculture,"USD 10,000,000",International Fund Agricultural Dev,"Ministry of Agriculture, Water Management and Forestry (MAWMF) in the Federation of Bosnia and Herzegovina ,Ministry of Agriculture Forestry and Water Management (MAFWM) of the Republika Srpska",04/11/2025,5 years,Proposal Approved,"USD 1,554,131",,,,,,,10000000,5.0
Enhancing Resilience of Communities to Climate Change in Shirak Marz Leveraging Best Practices of the Pilot Project Implemented in Artik Community,Armenia/Eastern Europe,Multi-sector,"USD 4,472,630",Environmental Project Implementation Unit,Environmental Project Implementation Unit State Agency,10/10/2025,4 years,Proposal Approved,,,,,,,,4472630,4.0
Enhancing the Land-based Adaptation of Communities Adjacent to Arid Zones and Forest Protected areas of Armenia by Duplicating and Expanding the Successful Mechanisms of the Previous Projects,Armenia/Eastern Europe,Forests,"USD 4,097,546",Environmental Project Implementation Unit,"Environmental Project Implementation Unit State Agency,""Dilijan National Park” SNCO,""Khosrov Forest State Reserve"" SNCO",10/10/2025,4 years,Proposal Approved,,,,,,,,4097546,4.0
Increasing socio-ecological resilience in the Uruguayan coastal zone and strengthening the adaptive capacity of its infrastructure: REACC COSTAS,Uruguay/Latin America & Caribbean,Coastal management,"USD 10,000,000",Development Bank of Latin America,"CND, Corporación Nacional para el Desarrollo.",04/19/2024,4 years,Proposal Approved,"USD 4,611,830",,,,,,,10000000,4.0
Constructing Resilience Together to Face Climate Change and Variability in Western Honduras,Honduras/Latin America & Caribbean,Multi-sector,"USD 4,000,000",Comisión Acción Social Menonita (CASM) of Honduras,"CIAT – International Center for Tropical Agriculture, Oficina de Coordinación de Proyectos (OCPSERNA)",04/10/2025,4 years,Proposal Approved,"USD 1,200,000",,,,,,,4000000,4.0
Sustainable Actions for Ecosystems Restoration in Pakistan (SAFER Pakistan),Pakistan/Asia-Pacific,Multi-sector,"USD 10,000,000",International Center for Integrated Mountain Development,"United Nations Children’s Fund (UNICEF) Pakistan,ICIMOD,United Nations Entity for Gender Equality & the Empowerment of Women (UN Women) Pakistan",10/11/2024,3 years,Proposal Approved,"USD 2,581,990",,,,,,,10000000,3.0
"Green, Resilient, and Adaptive CHT Economy (GRACE)-LoCALplus",Bangladesh/Asia-Pacific,Multi-sector,"USD 10,000,000",International Center for Integrated Mountain Development,"Ministry of Environment, Forests and Climate Change of Bangladesh (MoEFCC),Ministry of Local Government, Rural Development and Cooperatives of Bangladesh,Ministry of Chattogram Hill Tracts Affairs (MoCHTA) ,The Hill Tracts Development Board,The Hill District Councils,United Nations Capital Development Fund (UNCDF),Government Technical Departments/Local NGOs (TBD),ICIMOD",04/11/2025,4 years,Proposal Approved,"USD 1,500,000",,,,,,,10000000,4.0
"Implementing Protection Technologies to Foster the Resilience of Aquaculture in the Regions of Huanuco, Junin, and Puno to Strengthen Food Security in the Context of Extreme Events Associated with Climate Change",Peru/Latin America & Caribbean,Food Security,"USD 5,361,666",Development Bank of Latin America,"Ministry of Production of Peru (PRODUCE) (Technical Executing Entity),Instituto Interamericano de Cooperación para la Agricultura (IICA) (Administrative Executing Entity)",10/13/2023,4 years,Proposal Approved,,,,,,,,5361666,4.0
Increasing Climate Resilience Through Small-Scale Infrastructure Investments and Enhancing Adaptive Capacity of Vulnerable Communities in Kampot and Koh Kong Provinces in Cambodia,Cambodia/Asia-Pacific,Multi-sector,"USD 10,000,000",UN-Habitat,"National level Ministry of Environment National Council for Sustainable Development,Local level Provincial Department of Environment, Kampot and Koh Kong Kampot and Koh Kong Provincial Administrations,Community level Selected NGO(s) Community Based Organisations and citizen/women groups in target communities",04/19/2024,4 years,Project Under Implementation,"USD 928,177",09/26/2024,09/26/2028,,,,,10000000,4.0
Enhancing the Resilience of Vulnerable Small Island Communities to Climate Change Hazards (ENRICH),Grenada/Latin America & Caribbean,Agriculture,"USD 10,000,000",International Fund Agricultural Dev,"Ministry of Economic Development, Planning, Tourism, ICT, Creative Economy, Culture, Agriculture, and Lands, Forestry, Marine Resources and Fisheries and & Cooperatives of Grenada",10/10/2025,5 years,Proposal Approved,,,,,,,,10000000,5.0
Resilient Coastal Fisheries and Aquaculture in Nauru,Nauru/Asia-Pacific,Food Security,"USD 7,999,493",The Pacific Community,"Government of Nauru,Pacific Community (SPC)",03/24/2023,6 years,Proposal Approved,"USD 837,939",,,,,,,7999493,6.0
Strengthening the Adaptive Capacity of Coastal Communities of Fiji to Climate Change through Nature-Based Seawalls,Fiji/Asia-Pacific,Coastal management,"USD 5,707,100",The Pacific Community,Ministry of Agriculture and Waterways (MoAW),04/19/2024,5.5 years,Proposal Approved,"USD 330,150",,,,,,,5707100,5.5
Dairy Modernization and Market Access: Adaptive and Climate-Resilient Pasture Management (DiMMAdapt+),Georgia/Eastern Europe,Multi-sector,"USD 9,846,766",International Fund Agricultural Dev,Ministry of Environmental Protection and Agriculture (MEPA),04/19/2024,4 years,Proposal Approved,"USD 850,666",,,,,,,9846766,4.0
REsilience to NEgative impacts of climate-aggravated Water scarcity in the Agriculture sector in Libya (RENEWAL),Libyan Arab Jamahiriya/Africa,Agriculture,"USD 9,995,758",International Fund Agricultural Dev,UNOPS,10/13/2023,5 years,Project Under Implementation,"USD 1,109,505",04/28/2025,,,,,,9995758,5.0
Ger Community Resilience Project (GCRP),Mongolia/Asia-Pacific,Disaster Risk Reduction,"USD 7,965,882",UN-Habitat,"World Vision Mongolia,The Asia Foundation (tbc)",03/24/2023,4 years,Project Under Implementation,"USD 5,784,044",08/17/2023,08/17/2027,,,,,7965882,4.0
Building Climate Resilient District in Indonesia: Case of Sigi District,Indonesia/Asia-Pacific,Rural development,"USD 998,868",Partnership for Governance Reform (Kemitraan) of Indonesia,"Konsorsium Lingkungan Adaptif, Berketahanan, Inovatif, dan Partisipatif (KOLABORASI),Koaksi Indonesia,Lingkar Temu Kabupaten Lestari (LTKL),Alliance for Water Stewardship Indonesia in partnership with the District of Sigi, Central Sulawesi,Earth Innovation Institute (EII)",10/10/2025,2.5 years,Proposal Approved,,,,,,,,998868,2.5
Sustainable Landscape Governance; Towards Climate Resilience of Community in Tempe Lake Ecosystem,Indonesia/Asia-Pacific,Rural development,"USD 993,081",Partnership for Governance Reform (Kemitraan) of Indonesia,"Yayasan AKU Rimba Indonesia,Tim Layanan Kehutanan Masyarakat (TLKM),Yayasan Romang Celebes Indonesia,Indonesian Greenbelt Initiative (IGI),Yayasan Balla Konservasi Wallacea,Medialingkungan",10/10/2025,2 years,Proposal Approved,,,,,,,,993081,2.0
Adaptation to Climate Change and Resilience in the Montenegrin Mountain Areas-Gora,Montenegro/Eastern Europe,Multi-sector,"USD 10,000,000",International Fund Agricultural Dev,"Ministry of Agriculture, Forestry and Water Management",07/05/2023,6 years,Project Under Implementation,"USD 1,942,373",09/03/2024,09/03/2030,,,,,10000000,6.0
"Use of Nature-based Solutions to Increase Resilience to Extreme Climate Events in the Atlantic Region of Central America (Belize, Guatemala, Honduras)",Regional/Latin America & Caribbean,,"USD 13,248,121",Central American Bank for Economic Integration,"World Resources Institute (WRI) ,Tropical Agricultural Center for Research and Higher Education (CATIE)",07/28/2022,5.5 years,Project Under Implementation,"USD 3,160,000",11/15/2023,05/15/2029,,,,,13248121,5.5
Strengthen the Resilience of Smallholder Farmers to the Effects of Climate Change through the Adoption of Proven Innovative Technologies and Practices,Côte d'Ivoire/Africa,Agriculture,"USD 4,000,000",The Interprofessional Fund for Agricultural Research,Agence Nationale d’Appui au Développement Rural (ANADER),03/24/2023,3.5 years,Project Under Implementation,"USD 1,516,621",10/19/2023,04/19/2027,,,,,4000000,3.5
Increasing the Adaptation Capacity and Resilience of Rural Communities to Climate Change in the Central African Republic,Central African Republic/Africa,Agriculture,"USD 10,000,000",International Fund Agricultural Dev,"Ministry of Agriculture and Rural Development,Ministry of Environment and Sustainable Development",10/13/2023,6 years,Proposal Approved,"USD 1,002,954",,,,,,,10000000,6.0
Increasing the Resilience of Vulnerable Populations in Costa Rica by Scaling up Adapta2+,Costa Rica/Latin America & Caribbean,Food Security,"USD 10,000,000",Fundecooperacion Para el Desarollo Sostenible,",,Ministry of Agriculture, Instituto Nacional de Innovación y Transferencia en Tecnología Agropecuaria (INTA), Instituto Meteorológico Nacional, Universidad de Costa Rica, Instituto Tecnológico de Costa Rica, Universidad Técnica Nacional, CONARE, ALIARSE, Alianza Empresarial para el Desarrollo, Oficina Nacional de Semillas, Cámara Nacional de Productores de Leche, CORFOGA, Cooperativa de Productores de Puriscal, Centro Agrícola Cantonal, ACEPESA, FUCOGA, Raising Corals, Colegio Federado de Ingenieros y Arquitectos, Fundación Corcovado, Asociación Costarricense de Ciencias del Suelo",07/28/2022,6 years,Project Under Implementation,"USD 700,000",09/20/2023,09/20/2029,,,,,10000000,6.0
"Enhancing Community Adaptation to Climate Change through Climate Resilient Flood Early Warning, Catchment Management and Wash Technologies in Mpologoma Catchment, Uganda",Uganda/Africa,Water management,"USD 9,504,600",Ministry of Water and Environment of Uganda,Water Aid Uganda,10/14/2022,4.5 years,Project Under Implementation,"USD 1,931,900",07/24/2024,01/24/2029,,,,,9504600,4.5
Strengthening Resilience and Food Security of the Vulnerable Communes of Boukombe and Bopa Against Increased Impact of Climate Change,Benin/Africa,Food Security,"USD 3,053,744",National Environment Fund Benin,Caritas Bénin,10/11/2024,4 years,Project Under Implementation,"USD 1,144,405",04/24/2025,04/24/2029,,,,,3053744,4.0
Building Resilience to Climate Change of the Neighbouring Populations of the Classified Forests of Bassila and Penessoulou in the Central Region of Benin,Benin/Africa,Rural development,"USD 2,934,545",National Environment Fund Benin,National Timber Company SONAB (ex-ONAB); Bassila Town Hall; Communal Unit of the Territorial Agency for Agricultural Development,04/19/2024,4 years,Project Under Implementation,"USD 1,095,193",12/16/2024,12/16/2028,,,,,2934545,4.0
Adaptation of Small-Scale Agriculture for Improved Food Security of Resilient Communities in Papua New Guinea (ASSA),Papua New Guinea/Asia-Pacific,Food Security,"USD 10,000,000",The Pacific Community,"Department of Agriculture and Livestock ,SPC Land Resource Division,Government of PNG",03/24/2023,4.5 years,Proposal Approved,"USD 1,095,452",,,,,,,10000000,4.5
Improved Resilience of Coastal Communities in Côte d’Ivoire and Ghana,Regional/Africa,,"USD 13,991,159",UN-Habitat,Ghana and Côte d’Ivoire: University of Twente – Habitat for Humanity International – Abidjan Convention,08/28/2023,4.5 years,Project Under Implementation,"USD 3,122,324",09/26/2024,03/26/2029,,,,,13991159,4.5
Strengthening Community Resilience of Rural Populations in the Arid Zones of Northwestern Argentina in the Face of Climate Change by Improving Access to Water and the Application of Sustainable Land Management Practices,Argentina/Latin America & Caribbean,Multi-sector,"USD 10,000,000",Development Bank of Latin America,"Secretariat of Tourism, Environment and Sports of the Government of Argentina ,Development Bank of Latin America and the Caribbean (CAF)",04/11/2025,5 years,Proposal Approved,,,,,,,,10000000,5.0
Build Resilience to Climate Change and Climate Variability of Vulnerable Communities in Mullaitivu District of Sri Lanka,Sri Lanka/Asia-Pacific,Multi-sector,"USD 2,000,000",UN-Habitat,"National Level: Ministry of Environment,Subnational Level: District Secretariat Mullaitivu",03/13/2023,2 years,Project Under Implementation,"USD 1,032,591",12/07/2023,12/07/2025,,06/07/2027,,,2000000,2.0
Harnessing the Water-energy-food Nexus to Address and Adapt to Climate Change Impacts in Tawi-Tawi,Philippines/Asia-Pacific,Water management,"USD 9,994,955",United Nations Industrial Development Organization,"United Nations Industrial Development Organization (UNIDO) ,Mindanao Development Authority (MinDA)",04/11/2025,4 years,Proposal Approved,,,,,,,,9994955,4.0
Climate Resilience and Livelihoods in the Nicaraguan Dry Corridor (CRLNDC),Nicaragua/Latin America & Caribbean,Agriculture,"USD 10,000,000",UN World Food Programme,Ministry of Environment and Natural Resources (MARENA),04/19/2024,5 years,Proposal Approved,"USD 2,705,042",,,,,,,10000000,5.0
"Enhancing Adaptive Capacity in Lao PDR Provinces, and Building Resilient Housing in Vulnerable Communities",Lao People's Democratic Republic/Asia-Pacific,"Infrastructure
Rural development","USD 7,561,131",UN-Habitat,"Ministry of Public Works and Transport,Ministry of Natural Resources and Environment,Ministry of Education and Sports,Provincial Departments of Public Works and Transport (+NPSEs) and Provincial Departments of Natural Resources and Environment in Bokeo, Vientiane, Bolikhamxay, Khammouane, Champasak and Attapeu Provinces",10/13/2023,4 years,Project Under Implementation,"USD 3,100,064",05/30/2024,05/30/2028,,,,,7561131,4.0
Building a Program for Adaptation and Resilience to Climate Change of Andean Local Communities and Ecosystems in Peru,Peru/Latin America & Caribbean,Multi-sector,"USD 4,746,620",Peruvian Trust Fund for National Parks and Protected Areas,Helvetas Swiss Intercooperation,10/11/2024,4 years,Project Under Implementation,"USD 1,235,195",08/11/2025,08/11/2029,,,,,4746620,4.0
Multisectoral Adaptation Measures to Climate Change in the South Oropouche River Basin for Flood Relief,Trinidad and Tobago/Latin America & Caribbean,Multi-sector,"USD 10,000,000",Development Bank of Latin America,The University of the West Indies (UWI),04/08/2022,4 years,Project Under Implementation,"USD 5,626,865",09/13/2023,09/13/2027,,,,,10000000,4.0
Enhancing Resilience of Communities and Ecosystems in the Face of a Changing Climate in Arid and Semi-arid Areas of Zimbabwe,Zimbabwe/Africa,Rural development,"USD 4,989,000",Environmental Management Agency of Zimbabwe,"Care International,Organisation for Rural Associations for Progress (ORAP),Towards Sustainable Use of Resources Organisation (TSURO)",04/19/2024,4 years,Project Under Implementation,"USD 1,434,800",12/18/2024,12/18/2028,,,,,4989000,4.0
Strengthening Climate Resilience in Livelihoods and Coastal Ecosystems of the Central Pacific of Panama,Panama/Latin America & Caribbean,Coastal management,"USD 10,000,000",Fundacion Natura,"Ministry of Environment (MiAmbiente),Ministry of Agricultural Development (MIDA),Panama Aquatic Resources Authority (ARAP),Institute of Meteorology and Hydrology of Panama (IMHPA)",04/11/2025,3 years,Proposal Approved,,,,,,,,10000000,3.0
Increasing Rural Communities’ Adaptive Capacity and Resilience to Climate Change in Bandama Basin in Côte d’Ivoire,Côte d'Ivoire/Africa,Agriculture,"USD 6,000,000",International Fund Agricultural Dev,"Societe d’exploitation de Developpement Aeroportuaire Aeronautique Meteo (SODEXAM),Ministry of Agriculture and Rural Development ,Ministry of Environment and Sustainable Development",02/23/2022,4 years,Proposal Approved,"USD 2,060,470",,05/30/2029,,,,,6000000,4.0
"Strengthening Resilience of Vulnerable Communities in Sri Lanka and India to Increased Impacts of Climate Change (India, Sri Lanka)",Regional/Other,Food Security,"USD 13,995,524",UN World Food Programme,"India: Ministry of Environment, Forest and Climate Change,Sri Lanka: Ministry of Environment",03/13/2023,5 years,Project Under Implementation,"USD 2,138,450",10/21/2024,10/21/2029,,,,,13995524,5.0
Integrated Water and Soil Resources Management Project (Projet de gestion intégrée des ressources en eau et des sols PROGIRES),Djibouti/Africa,Water management,"USD 5,339,285",International Fund Agricultural Dev,"Ministry of Agriculture, Water, Fisheries and Livestock",07/26/2021,5.5 years,Project Under Implementation,"USD 2,902,375",03/29/2022,09/29/2027,,,,,5339285,5.5
Strengthening Resilience to Climate and Covid-19 shocks through Integrated Water Management on the Sudan – Chad Border area (SCCIWM),Regional/Africa,Disaster risk reduction and early warning system,"USD 14,000,000",Food and Agriculture Organization of the United Nations,"Higher Council for Environment and Natural Resources (Sudan) ,Ministry of Irrigation and Water Resources (Sudan) ,Ministry of Agriculture and Natural Resources (Sudan),Ministry of Environment, Water and Fisheries (Chad) ,Ministry of Urban and Rural Water (Chad),Meteorological Authority (Sudan),National Meteorological Agency (Chad),Food and Agriculture Organization of the United Nations (FAO)",04/08/2022,3 years,Proposal Approved,,,,,,,,14000000,3.0
Increase the Climate Change Resilience to Water Scarcity and Flooding in the Tuban Delta,Yemen/Asia-Pacific,Water management,"USD 9,998,560",UN-Habitat,"Ministry of Water and Environment,Ministry of Agriculture and Irrigation,Cooperative and Agricultural Credit Bank",04/10/2025,3.5 years,Proposal Approved,"USD 1,188,329",,,,,,,9998560,3.5
"Strengthening the Adaptive Capacities of Climate-Vulnerable Communities in the Goascorán Watershed of El Salvador and Honduras through Integrated Community-Based Adaptation Practices and Services (El Salvador, Honduras)",Regional/Other,Food Security,"USD 12,048,300",UN World Food Programme,"El Salvador: Ministry of Environment and Natural Resources (MARN),Honduras: Secretariat of Natural Resources and Environment (MiAmbiente+)",10/14/2022,5 years,Project Under Implementation,"USD 2,046,280",10/09/2024,10/09/2029,,,,,12048300,5.0
Integrated water resources management and early warning system for climate change resilience in the Lake Chad Basin,Regional/Africa,Disaster risk reduction and early warning system,"USD 11,665,500",World Meteorological Organization,"Global Water Partnership Central Africa (GWP-CAf),Lake Chad Basin Commission (LCBC)",04/11/2025,5 years,Proposal Approved,,,,,,,,11665500,5.0
Rural Integrated Climate Adaptation and Resilience Building Project (RICAR),Gambia/Africa,Rural development,"USD 10,000,000",UN World Food Programme,"Ministry of Environment, Climate Change and Natural Resources (MoECCNAR)",03/11/2021,5 years,Project Under Implementation,"USD 3,124,586",03/21/2022,03/21/2027,,,,,10000000,5.0
EMBRACING THE SUN: Redefining Public Space as a Solution for the Effects of Global Climate Change in Indonesia’s Urban Areas,Indonesia/Asia-Pacific,Urban development,"USD 824,835",Partnership for Governance Reform (Kemitraan) of Indonesia,"School of Design Office, Creative Industries Faculty, Queensland University of Technology,Resilience Research Institute, the University 17 Agustus 1945 Surabaya, Indonesia",10/21/2021,2 years,Project Under Implementation,"USD 824,835",11/21/2022,11/21/2024,,05/21/2025,,,824835,2.0
"Scaling-up climate-resilient rice production in West Africa (Benin, Burkina Faso, Côte d’Ivoire, Gambia (Republic of the), Ghana, Guinea, Liberia, Mali, Niger, Nigeria, Senegal, Sierra Leone and Togo)",Regional/Other,Food Security,"USD 14,000,000",Sahara and Sahel Observatory,"National level: National Coordination Institutions Benin: Secrétariat Général du Ministère de lAgriculture, de lElevage et de la Pêche (SG/MAEP) / Institut National des Recherches Agricoles du Bénin (INRAB) Burkina Faso: Ministère de lagriculture et des aménagements hydro-agricoles /Direction générale des études et des statistiques sectorielles Côte d’Ivoire: Ministère de lAgriculture et du Développement Rural / Agence Nationale dAppui au Développement Rural (ANADER) The Gambia: Ministry of Agriculture Ghana: CSIR-Savanna Agricultural Research Institute (SARI) Guinea: Institut de Recherche Agronomique (IRAG) ,Regional level: Regional Coordination Unit based at the Regional Centre of Specialization in Rice sponsored by ECOWAS (RCoS-Rice/IER) in Mali, in partnership with Climate-Resilient Farming Systems program at Cornell University, USA,National level (continues): Liberia: Community of Hope Agriculture Project (CHAP) Mali: Direction Nationale de l’Agriculture (DNA) Niger: Institut National de la Recherche Agronomique du Niger (INRAN) Nigeria: Agricultural Research Council of Nigeria (ARCN) Senegal: Agence Nationale de Conseil Agricole et Rural (ANCAR) Sierra Leone: Rokupr Rice Research Centre/Sierra Leone Agricultural Research Institute Togo: Institut de Conseil et Appui Technique (ICAT)",10/21/2021,4.5 years,Project Under Implementation,"USD 7,297,500",02/24/2023,08/24/2027,,,,,14000000,4.5
Nature-based Climate Adaptation Programme for the Urban Areas of Penang Island,Malaysia/Asia-Pacific,Urban development,"USD 10,000,000",UN-Habitat,"Majlis Bandaraya Pulau Pinang (MBPP),Jabatan Pengairan Dan Saliran (JPS) ,Think City,Ministry of Environment and Water (KASA)",02/23/2022,5 years,Project Under Implementation,"USD 3,000,000",09/06/2022,09/06/2027,,,,,10000000,5.0
Strengthening Local Communities’ Adaptive Capacity and Resilience to Climate Change through Sustainable Groundwater Utilisation in Zimbabwe,Zimbabwe/Africa,Water management,"USD 5,000,000","United Nations Educational, Scientific and Cultural Organization","Ministry of Lands, Agriculture, Water, Climate and Rural Resettlement",04/08/2021,4 years,Project Under Implementation,"USD 409,792",,01/31/2028,,,,,5000000,4.0
Building Climate Resilience in Liberia’s Cocoa and Rice Sectors,Liberia/Africa,Agriculture,"USD 9,592,082",International Fund Agricultural Dev,Ministry of Agriculture,09/23/2020,5 years,Project Under Implementation,"USD 5,965,601",04/14/2022,04/14/2027,,,,,9592082,5.0
Increasing Local Communities’ Resilience to Climate Change through Youth Entrepreneurship and Integrated Natural Resources Management,Cameroon/Africa,Agriculture,"USD 9,982,000",International Fund Agricultural Dev,"Ministry of Environment, Protection of Nature and Sustainable Development (MINEPDED)",09/23/2020,6 years,Project Under Implementation,"USD 3,427,000",10/27/2022,10/27/2028,,,,,9982000,6.0
Climate Change Adaptation through Protective Small-scale Infrastructure Interventions in Coastal Settlements of Cambodia,Cambodia/Asia-Pacific,Urban development,"USD 5,000,000",UN-Habitat,National Council for Sustainable Development (NCSD),01/26/2021,4 years,Project Under Implementation,"USD 5,000,000",08/26/2021,08/26/2025,,12/25/2025,,,5000000,4.0
"West and Central Africa Small Island Developing States ADAPT – Building resilience of agricultural systems to climate change (Cabo Verde, Guinea Bissau, Sao Tome and Principe)",Regional/Other,Food Security,"USD 14,000,000",International Fund Agricultural Dev,"Ministério do Ambiente e Biodiversidade,Ministério das Infraestruturas e Recursos Naturais,Instituto Nacional de Meteorologia e Geofica",03/24/2023,6 years,Proposal Approved,"USD 1,294,136",,,,,,,14000000,6.0
Increasing the resilience of both displaced persons and host communities to climate change-related water challenges in Jordan and Lebanon,Regional/Other,Transboundary Water Management,"USD 13,973,509",UN-Habitat,"Ministry of Environment; Ministry of Energy and Water; Line departments in municipalities; UNICEF and NGO partners for Lebanon,Ministry of Environment, Ministry of Water and Irrigation;; Line departments in municipalities; UNICEF and NGO partners for Jordan",03/11/2021,4 years,Project Under Implementation,"USD 13,973,509",10/20/2021,10/20/2025,,10/26/2026,,,13973509,4.0
"Mekong EbA South: Enhancing Climate Resilience in the Greater Mekong Sub-region through Ecosystem-based Adaptation in the Context of South-South Cooperation (Thailand, Viet Nam)",Regional/Asia-Pacific,Transboundary Water Management,"USD 7,000,000",UN Environment Programme,"International Union for Conservation of Nature (IUCN) ,Ministry of Natural Resources and Environment of Vietnam,Ministry of Natural Resources and Environment of Thailand.",03/11/2021,4 years,Project Under Implementation,"USD 3,352,650",07/19/2023,07/19/2027,,,,,7000000,4.0
Strategic Water Harvesting Technologies for Enhancing Resilience to Climate Change in Rural Communities in Semi-Arid Areas of Tanzania (SWAHAT),"Tanzania, United Republic of/Africa",Agriculture,"USD 1,280,000",National Environment Management Council,Sokoine University of Agriculture,09/23/2020,4 years,Project Under Implementation,"USD 1,098,787",10/13/2021,10/13/2025,,,,,1280000,4.0
Bunda Climate Resilience and Adaptation Project,"Tanzania, United Republic of/Africa",Agriculture,"USD 1,400,000",National Environment Management Council,Bunda District Council,04/08/2021,3 years,Project Under Implementation,"USD 1,157,870",03/04/2022,03/04/2025,,03/12/2026,,,1400000,3.0
"Safekeeping-Surviving-Sustaining towards Resilience: 3S Approach to Build Coastal City Resilience to Climate Change Impacts and Natural Disasters in Pekalongan City, Central Java Province",Indonesia/Asia-Pacific,Multi-sector,"USD 5,972,670",Partnership for Governance Reform (Kemitraan) of Indonesia,Kemitraan (The Partnership for Governance Reform),09/23/2020,3 years,Project Under Implementation,"USD 5,972,670",07/15/2021,07/15/2024,,07/13/2026,,,5972670,3.0
"Adapting to Climate Change through Sustainable Integrated Watershed Governance in Indigenous People of Ammatoa Kajang Customary Area in Bulukumba Regency, South Sulawesi Province, Indonesia",Indonesia/Asia-Pacific,Water management,"USD 1,125,015",Partnership for Governance Reform (Kemitraan) of Indonesia,"PERKUMPULAN PAYO PAYO,OASE (An Organization on Social and Environmental issues)",09/23/2020,2 years,Project Completed,"USD 1,125,015",04/01/2021,04/01/2023,,03/31/2024,,,1125015,2.0
"Enhancing the adaptation capability of coastal community in facing the impacts of climate change in Negeri (village), Asilulu, Ureng and Lima of Leihitu District Maluku Tengah Regency Maluku Province",Indonesia/Asia-Pacific,Coastal management,"USD 963,456",Partnership for Governance Reform (Kemitraan) of Indonesia,Harmony Alam Indonesia (HAI) Foundation,10/21/2021,3 years,Project Under Implementation,"USD 963,456",08/29/2022,08/29/2025,,,,,963456,3.0
Adaptation to Climate-Induced Water Stresses through Integrated Landscape Management in Bhutan,Bhutan/Asia-Pacific,Multi-sector,"USD 9,998,955",Bhutan Trust Fund for Environmental Conservation,"Department of Agriculture and Department of Forests and Park Services, Ministry of Agriculture and Forests,Department of Engineering Services, Ministry of Works and Human Settlement,Ministry of Finance,Department of Local Governance, Ministry of Home and Cultural Affairs",10/14/2022,5 years,Project Under Implementation,"USD 6,255,179",05/30/2023,05/30/2028,,,,,9998955,5.0
"Reducing vulnerabilities of populations in the Central Asia region from glacier lake outburst floods in a changing climate (Kazakhstan, Kyrgyzstan, Tajikistan, Uzbekistan)",Regional/Asia-Pacific,Disaster risk reduction and early warning system,"USD 6,500,000","United Nations Educational, Scientific and Cultural Organization",UNESCO Cluster office in Almaty,10/15/2020,5 years,Project Under Implementation,"USD 5,671,776",04/29/2021,04/29/2026,,04/29/2027,,,6500000,5.0
